,0,1
0,-0.10973536,0.06489247
1,0.10817465,-0.112997174
2,-0.07019306,0.15725352
3,0.06604976,-0.11817334
4,0.11261281,-0.49432206
5,0.09717948,-0.0856391
6,0.1711026,-0.14714614
7,-0.15035824,-0.038343173
8,-0.14556335,-0.06609397
9,-0.13417035,0.13573903
10,-0.19434242,0.10924865
11,-0.028831882,0.17638195
12,0.06484793,0.029469077
13,-0.004243698,0.10738579
14,0.02443963,0.03899402
15,0.021888189,-0.03489784
16,0.0043003857,0.03183447
17,0.17586282,-0.32464874
18,-0.002802588,-0.14067943
19,-0.118886456,0.23455529
20,-0.00059730746,-0.09767291
21,-0.018687418,-0.12789808
22,-0.07389099,0.15240471
23,-0.03448273,-0.2474396
24,-0.024206346,-0.03502182
25,-0.022320617,-0.06970686
26,-0.011990707,-0.057162598
27,-0.11532007,0.30812413
28,-0.018280186,-0.15991732
29,-0.039869703,-0.07130991
30,-0.040371053,-0.020394363
31,0.054525625,-0.16326022
32,-0.042187627,0.101917356
33,-0.06442149,0.16162108
34,-0.00021411944,0.068051845
35,-0.014380023,0.021610918
36,-0.069999695,0.2117893
37,-0.1651296,0.26775783
38,0.016583847,0.16549973
39,-0.20509493,-0.1911983
40,-0.054938786,-0.13062465
41,0.010478827,-0.017860819
42,0.016401002,0.08123
43,0.033360012,0.003082851
44,0.27008986,-0.26506677
45,0.0146793425,-0.16581221
46,0.013684614,-0.051192902
47,-0.14563948,0.117180884
48,0.029669082,0.058369204
49,-0.006943075,0.0074117146
50,-0.114402115,-0.031130698
51,0.0027757138,-0.027412027
52,0.024602957,-0.04187534
53,0.12915671,-0.079961866
54,-0.020523904,-0.0058796555
55,0.06777085,-0.1304743
56,-0.008789294,-0.09465687
57,0.08715175,-0.07379292
58,-0.057720732,-0.1522331
59,0.07581269,-0.053636137
60,-0.058526304,0.18453334
61,-0.05059012,-0.025489526
62,0.03644146,-0.059651434
63,0.111075774,-0.1683444
64,-0.057018075,0.0018870225
65,-0.029651232,0.22384275
66,-0.071458265,0.065497704
67,-0.02292721,0.049857892
68,-0.16987419,0.11564639
69,-0.088054836,0.062006254
70,0.09370378,0.27638316
71,-0.011767563,0.13512622
72,-0.049777996,0.04761391
73,-0.15133807,-0.12257814
74,-0.05920369,-0.05143164
75,0.19258878,-0.20922239
76,-0.011987073,-0.15670562
77,-0.16616762,0.13227555
78,0.025684578,0.06710207
79,0.048780613,0.006331956
80,-0.033967745,-0.08455485
81,0.03634044,-0.03726104
82,0.008516337,0.14702283
83,0.04553161,-0.05164248
84,-0.08857237,0.20579737
85,-0.21517204,0.2253704
